EgsNom;ContractId;ValuationId;ScenarioId;Key;Actual;Expected;AbsoluteDifference;RelativeDifference;Comment
1100LO0000000000184144--SWP;184144;DEFAULT;DEFAULT;RiskFreePV;-2010271,38513181;-2010271,38513187;-0,00000006;0,0000000000000298467164402611;
1100LO0000000000184209--SWP;184209;DEFAULT;DEFAULT;OptRiskFreePV;-1146434,8479886;-1146434,84798987;-0,00000127;0,0000000000011077820970185902;
1100LO0000000000184209--SWP;184209;DEFAULT;DEFAULT;PV;-11745248,6173325;-11745248,6173337;-0,0000012;0,0000000000001021689739482531;
1100LO0000000000184209--SWP;184209;DEFAULT;DEFAULT;RiskFreePV;-11745248,6173325;-11745248,6173337;-0,0000012;0,0000000000001021689739482531;
1100LO0000000000185446--SWP;185446;DEFAULT;DEFAULT;OptRiskFreePV;-4040343,4866736;-4040343,48667091;0,00000269;-0,0000000000006657849781516143;
1100LO0000000000185446--SWP;185446;DEFAULT;DEFAULT;PV;-1035963,66789778;-1035963,66789509;0,00000269;-0,0000000000025966161588066678;
1100LO0000000000185446--SWP;185446;DEFAULT;DEFAULT;RiskFreePV;-1035963,66789778;-1035963,66789509;0,00000269;-0,0000000000025966161588066678;
1100LO0000000000172935--SWP;172935;DEFAULT;DEFAULT;OptRiskFreePV;-51211,1663017079;-51211,1663017123;-0,0000000044;0,0000000000000859187618199834;
1100LO0000000000172935--SWP;172935;DEFAULT;DEFAULT;PV;-713530,507698323;-713530,50769833;-0,000000007;0,0000000000000098103724010068;
1100LO0000000000172935--SWP;172935;DEFAULT;DEFAULT;RiskFreePV;-713530,507698323;-713530,50769833;-0,000000007;0,0000000000000098103724010068;
1100LO0000000000172935--SWP;172935;DEFAULT;DEFAULT;StructureAccrualPV;8239,9583542723;8239,9583542722;-0,0000000001;-0,0000000000000121359836664892;
1100LO0000000000172935--SWP;172935;DEFAULT;DEFAULT;UndRiskFreePV;-662319,341396613;-662319,341396615;-0,000000002;0,0000000000000030196913709068;
1100LO0000000000173172--SWP;173172;DEFAULT;DEFAULT;PV;-735895,737967731;-735895,73796773;0,000000001;-0,0000000000000013588881527723;
1100LO0000000000173172--SWP;173172;DEFAULT;DEFAULT;RiskFreePV;-735895,737967731;-735895,73796773;0,000000001;-0,0000000000000013588881527723;
1100LO0000000000173172--SWP;173172;DEFAULT;DEFAULT;UndRiskFreePV;-735895,737967731;-735895,73796773;0,000000001;-0,0000000000000013588881527723;
1100LO0000000000174504--SWP;174504;DEFAULT;DEFAULT;OptRiskFreePV;-11983,3699630428;-11983,3699630439;-0,0000000011;0,0000000000000917938779652506;
1100LO0000000000174504--SWP;174504;DEFAULT;DEFAULT;PV;-135686,959638839;-135686,959638841;-0,000000002;0,0000000000000147398099664363;
1100LO0000000000174504--SWP;174504;DEFAULT;DEFAULT;RiskFreePV;-135686,959638839;-135686,959638841;-0,000000002;0,0000000000000147398099664363;
1100LO0000000000174680--SWP;174680;DEFAULT;DEFAULT;OptRiskFreePV;-54463,3407063204;-54463,3407063206;-0,0000000002;0,0000000000000036721948636689;
1100LO0000000000174680--SWP;174680;DEFAULT;DEFAULT;PV;-93656,353835248;-93656,3538352479;0,0000000001;-0,0000000000000010677332172883;
1100LO0000000000174680--SWP;174680;DEFAULT;DEFAULT;RiskFreePV;-93656,353835248;-93656,3538352479;0,0000000001;-0,0000000000000010677332172883;
1100LO0000000000174680--SWP;174680;DEFAULT;DEFAULT;UndRiskFreePV;-39193,0131289268;-39193,0131289267;0,0000000001;-0,0000000000000025514751741859;
1100LO0000000000174767--SWP;174767;DEFAULT;DEFAULT;OptRiskFreePV;-23527,4070859887;-23527,4070859888;-0,0000000001;0,000000000000004250362125946;
1100LO0000000000174767--SWP;174767;DEFAULT;DEFAULT;UndRiskFreePV;-90557,7915048918;-90557,7915048919;-0,0000000001;0,0000000000000011042672125523;
1100LO0000000000175123--SWP;175123;DEFAULT;DEFAULT;OptRiskFreePV;-96573,0744370765;-96573,0744370767;-0,0000000002;0,0000000000000020709706216334;
1100LO0000000000175123--SWP;175123;DEFAULT;DEFAULT;StructureAccrualPV;20859,8425279769;20859,8425279768;-0,0000000001;-0,0000000000000047939000433911;
1100LO0000000000175123--SWP;175123;DEFAULT;DEFAULT;UndRiskFreePV;-1304531,19661272;-1304531,19661271;0,00000001;-0,000000000000007665589006967;
1100LO0000000000186303-TDEV;186303;DEFAULT;DEFAULT;PV;67998,2690462824;67998,2690462843;0,0000000019;0,0000000000000279418877369773;
1100LO0000000000168062--SWP;168062;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;12830192,0555306;12830192,0555302;-0,0000004;-0,0000000000000311764623840978;
1100LO0000000000168062--SWP;168062;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;12830192,0555306;12830192,0555302;-0,0000004;-0,0000000000000311764623840978;
1100LO0000000000168062--SWP;168062;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;12830192,0555306;12830192,0555302;-0,0000004;-0,0000000000000311764623840978;
1100LO0000000000169981--SWP;169981;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-657533,78728611;-657533,787352388;-0,000066278;0,0000000001007978620742126574;
1100LO0000000000169981--SWP;169981;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-1284257,24373649;-1284257,24380278;-0,00006629;0,000000000051617384541380634;
1100LO0000000000169981--SWP;169981;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-1284257,24373649;-1284257,24380278;-0,00006629;0,000000000051617384541380634;
1100LO0000000000169981--SWP;169981;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-626723,456450382;-626723,456450397;-0,000000015;0,000000000000023934001265816;
1100LO0000000000170004--SWP;170004;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;27244499,5886417;27244499,5886419;0,0000002;0,0000000000000073409313079614;
1100LO0000000000170004--SWP;170004;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;27244499,5886417;27244499,5886419;0,0000002;0,0000000000000073409313079614;
1100LO0000000000170004--SWP;170004;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;27244499,5886417;27244499,5886419;0,0000002;0,0000000000000073409313079614;
1100LO0000000000173658--SWP;173658;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-3465380,62354423;-3465380,61920725;0,00433698;-0,0000000012515162030208210513;
1100LO0000000000173658--SWP;173658;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-18162149,6143147;-18162149,6099774;0,0043373;-0,0000000002388098376076314677;
1100LO0000000000173658--SWP;173658;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-18162149,6143147;-18162149,6099774;0,0043373;-0,0000000002388098376076314677;
1100LO0000000000173658--SWP;173658;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-14696768,9907705;-14696768,9907702;0,0000003;-0,0000000000000204126498952524;
1100LO0000000000173736--SWP;173736;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-826916,467438584;-826916,467438567;0,000000017;-0,0000000000000205583038546304;
1100LO0000000000173736--SWP;173736;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-826916,467438584;-826916,467438567;0,000000017;-0,0000000000000205583038546304;
1100LO0000000000173736--SWP;173736;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-826916,467438584;-826916,467438567;0,000000017;-0,0000000000000205583038546304;
1100LO0000000000174428--SWP;174428;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;FundingPVBPPV;87823,6521852054;87823,6521852056;0,0000000002;0,0000000000000022772908552953;
1100LO0000000000174428--SWP;174428;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-2400846,77143488;-2400846,77571497;-0,00428009;0,0000000017827418438045420879;
1100LO0000000000174428--SWP;174428;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-12077727,8955287;-12077727,8998084;-0,0042797;0,0000000003543464496815157825;
1100LO0000000000174428--SWP;174428;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-12077727,8955287;-12077727,8998084;-0,0042797;0,0000000003543464496815157825;
1100LO0000000000174428--SWP;174428;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;StructurePVBPPV;87297,828208169;87297,8282081692;0,0000000002;0,0000000000000022910077387387;
1100LO0000000000174428--SWP;174428;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-9676881,12409383;-9676881,12409343;0,00000040;-0,0000000000000413356323045104;
1100LO0000000000175302--SWP;175302;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-258088,931279273;-258088,93126424;0,000015033;-0,0000000000582473642921675081;
1100LO0000000000175302--SWP;175302;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-4171684,79436841;-4171684,79435335;0,00001506;-0,0000000000036100522312544644;
1100LO0000000000175302--SWP;175302;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-4171684,79436841;-4171684,79435335;0,00001506;-0,0000000000036100522312544644;
1100LO0000000000175302--SWP;175302;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;StructurePVBPPV;18817,9066464775;18817,9066464776;0,0000000001;0,0000000000000053140873678805;
1100LO0000000000175302--SWP;175302;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-3913595,86308913;-3913595,86308911;0,00000002;-0,0000000000000051103897028891;
1100LO0000000000175440--SWP;175440;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-22805,5393692888;-22805,5404042122;-0,0010349234;0,000000045380351818983288805;
1100LO0000000000175440--SWP;175440;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-5677796,4147631;-5677796,41579804;-0,00103494;0,0000000001822784623465901018;
1100LO0000000000175440--SWP;175440;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;RiskFreePV;-5677796,4147631;-5677796,41579804;-0,00103494;0,0000000001822784623465901018;
1100LO0000000000175440--SWP;175440;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;UndRiskFreePV;-5654990,87539381;-5654990,87539383;-0,00000002;0,0000000000000035366988984942;
1100LO0000000000175483--SWP;175483;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;OptRiskFreePV;-491622,878484039;-491622,876918436;0,001565603;-0,0000000031845609073924104951;
1100LO0000000000175483--SWP;175483;DEFAULT;IRRBBFloor.ParallelShockUp.EUR_RFR;PV;-31170254,7814811;-31170254,7799154;0,0015657;-0,0000000000502305807564401142;
